method,threads,padding,time,m,n,p
padding,4,8,0.309847,8000,8000,4
padding,8,8,0.211102,8000,8000,4
padding,8,8,0.232351,8000,8000,4
padding,8,8,0.216208,8000,8000,4
padding,8,8,0.218226,8000,8000,4
padding,2,16,0.507950,8000,8000,4
padding,2,16,0.526254,8000,8000,4
padding,2,16,0.474798,8000,8000,4
padding,2,16,0.486726,8000,8000,4
padding,4,16,0.335561,8000,8000,4
padding,4,16,0.302101,8000,8000,4
padding,4,16,0.284356,8000,8000,4
padding,4,16,0.367225,8000,8000,4
padding,8,16,0.211201,8000,8000,4
padding,8,16,0.217495,8000,8000,4
padding,8,16,0.221820,8000,8000,4
padding,8,16,0.217924,8000,8000,4
padding,2,2,1.110191,8000,8000,8
padding,2,2,1.067542,8000,8000,8
padding,2,2,1.201749,8000,8000,8
padding,2,2,1.084348,8000,8000,8
padding,4,2,0.644001,8000,8000,8
padding,4,2,0.635747,8000,8000,8
padding,4,2,0.624243,8000,8000,8
padding,4,2,0.819249,8000,8000,8
padding,8,2,0.456060,8000,8000,8
padding,8,2,0.464942,8000,8000,8
padding,8,2,0.472649,8000,8000,8
padding,8,2,0.451644,8000,8000,8
padding,2,4,1.031945,8000,8000,8
padding,2,4,1.275348,8000,8000,8
padding,2,4,1.070923,8000,8000,8
padding,2,4,1.065426,8000,8000,8
padding,4,4,0.630543,8000,8000,8
padding,4,4,0.699885,8000,8000,8
padding,4,4,0.666349,8000,8000,8
padding,4,4,0.672951,8000,8000,8
padding,8,4,0.448562,8000,8000,8
padding,8,4,0.439217,8000,8000,8
padding,8,4,0.433496,8000,8000,8
padding,8,4,0.500391,8000,8000,8
padding,2,8,1.043195,8000,8000,8
padding,2,8,1.139752,8000,8000,8
padding,2,8,1.046772,8000,8000,8
padding,2,8,1.085631,8000,8000,8
padding,4,8,0.664678,8000,8000,8
padding,4,8,0.620478,8000,8000,8
padding,4,8,0.760209,8000,8000,8
padding,4,8,0.640161,8000,8000,8
padding,8,8,0.473799,8000,8000,8
padding,8,8,0.450898,8000,8000,8
padding,8,8,0.440659,8000,8000,8
padding,8,8,0.460952,8000,8000,8
padding,2,16,1.172144,8000,8000,8
padding,2,16,1.093153,8000,8000,8
padding,2,16,1.045599,8000,8000,8
padding,2,16,1.066781,8000,8000,8
padding,4,16,0.661001,8000,8000,8
padding,4,16,0.675758,8000,8000,8
padding,4,16,0.612585,8000,8000,8
padding,4,16,0.607660,8000,8000,8
padding,8,16,0.462186,8000,8000,8
padding,8,16,0.435777,8000,8000,8
padding,8,16,0.450290,8000,8000,8
padding,8,16,0.451547,8000,8000,8
padding,2,2,0.133675,8,8000000,1
padding,2,2,0.114032,8,8000000,1
padding,2,2,0.139219,8,8000000,1
padding,2,2,0.111478,8,8000000,1
padding,4,2,0.148590,8,8000000,1
padding,4,2,0.122525,8,8000000,1
padding,4,2,0.129530,8,8000000,1
padding,4,2,0.170991,8,8000000,1
padding,8,2,0.145556,8,8000000,1
padding,8,2,0.136643,8,8000000,1
padding,8,2,0.151852,8,8000000,1
padding,8,2,0.133980,8,8000000,1
padding,2,4,0.103450,8,8000000,1
padding,2,4,0.116946,8,8000000,1
padding,2,4,0.113221,8,8000000,1
padding,2,4,0.166505,8,8000000,1
padding,4,4,0.082792,8,8000000,1
padding,4,4,0.083495,8,8000000,1
padding,4,4,0.090386,8,8000000,1
padding,4,4,0.064150,8,8000000,1
padding,8,4,0.080033,8,8000000,1
padding,8,4,0.089972,8,8000000,1
padding,8,4,0.111007,8,8000000,1
padding,8,4,0.094417,8,8000000,1
padding,2,8,0.128788,8,8000000,1
padding,2,8,0.111190,8,8000000,1
padding,2,8,0.112807,8,8000000,1
padding,2,8,0.101695,8,8000000,1
padding,4,8,0.071361,8,8000000,1
padding,4,8,0.079269,8,8000000,1
padding,4,8,0.089379,8,8000000,1
padding,4,8,0.083017,8,8000000,1
padding,8,8,0.065064,8,8000000,1
padding,8,8,0.050501,8,8000000,1
padding,8,8,0.049218,8,8000000,1
padding,8,8,0.054705,8,8000000,1
padding,2,16,0.122248,8,8000000,1
padding,2,16,0.118090,8,8000000,1
padding,2,16,0.137429,8,8000000,1
padding,2,16,0.103826,8,8000000,1
padding,4,16,0.079208,8,8000000,1
padding,4,16,0.065475,8,8000000,1
padding,4,16,0.054863,8,8000000,1
padding,4,16,0.074355,8,8000000,1
padding,8,16,0.050764,8,8000000,1
padding,8,16,0.069684,8,8000000,1
padding,8,16,0.052076,8,8000000,1
padding,8,16,0.049195,8,8000000,1
padding,2,2,0.252336,8,8000000,2
padding,2,2,0.234431,8,8000000,2
padding,2,2,0.225720,8,8000000,2
padding,2,2,0.300644,8,8000000,2
padding,4,2,0.200115,8,8000000,2
padding,4,2,0.162946,8,8000000,2
padding,4,2,0.166927,8,8000000,2
padding,4,2,0.187909,8,8000000,2
padding,8,2,0.194806,8,8000000,2
padding,8,2,0.209294,8,8000000,2
padding,8,2,0.217042,8,8000000,2
padding,8,2,0.221968,8,8000000,2
padding,2,4,0.254998,8,8000000,2
padding,2,4,0.278997,8,8000000,2
padding,2,4,0.263387,8,8000000,2
padding,2,4,0.302797,8,8000000,2
padding,4,4,0.156709,8,8000000,2
padding,4,4,0.172819,8,8000000,2
padding,4,4,0.160945,8,8000000,2
padding,4,4,0.158093,8,8000000,2
padding,8,4,0.127043,8,8000000,2
padding,8,4,0.109049,8,8000000,2
padding,8,4,0.112193,8,8000000,2
padding,8,4,0.134036,8,8000000,2
padding,2,8,0.359297,8,8000000,2
padding,2,8,0.270949,8,8000000,2
padding,2,8,0.258589,8,8000000,2
padding,2,8,0.275328,8,8000000,2
padding,4,8,0.161144,8,8000000,2
padding,4,8,0.190705,8,8000000,2
padding,4,8,0.174218,8,8000000,2
padding,4,8,0.159787,8,8000000,2
padding,8,8,0.112514,8,8000000,2
padding,8,8,0.113428,8,8000000,2
padding,8,8,0.114268,8,8000000,2
padding,8,8,0.112791,8,8000000,2
padding,2,16,0.255626,8,8000000,2
padding,2,16,0.282121,8,8000000,2
padding,2,16,0.269489,8,8000000,2
padding,2,16,0.290108,8,8000000,2
padding,4,16,0.144510,8,8000000,2
padding,4,16,0.158500,8,8000000,2
padding,4,16,0.207778,8,8000000,2
padding,4,16,0.165804,8,8000000,2
padding,8,16,0.111520,8,8000000,2
padding,8,16,0.109996,8,8000000,2
padding,8,16,0.110685,8,8000000,2
padding,8,16,0.124267,8,8000000,2
padding,2,2,0.636850,8,8000000,4
padding,2,2,0.609195,8,8000000,4
padding,2,2,0.599951,8,8000000,4
padding,2,2,0.663195,8,8000000,4
padding,4,2,0.439919,8,8000000,4
padding,4,2,0.545501,8,8000000,4
padding,4,2,0.420490,8,8000000,4
padding,4,2,0.435617,8,8000000,4
padding,8,2,0.375526,8,8000000,4
padding,8,2,0.287157,8,8000000,4
padding,8,2,0.410125,8,8000000,4
padding,8,2,0.395698,8,8000000,4
padding,2,4,0.675152,8,8000000,4
padding,2,4,0.615638,8,8000000,4
padding,2,4,0.586156,8,8000000,4
padding,2,4,0.654292,8,8000000,4
padding,4,4,0.450316,8,8000000,4
padding,4,4,0.460447,8,8000000,4
padding,4,4,0.460090,8,8000000,4
